"SAMPLE";"Kind";"Species";"Loc";"geographic location (latitude)";"geographic location (longitude)";"Cruise";"Season";"HamenDate";"Tide";"Hol";"SampleID";"Replicates";"Replicate2";"Depth";"Temperature";"pH";"Conductivity";"Salinity";"O2Sat";"O2";"SecchiDepth";"Maturity";"WaterColumn";"TrophicGuild";"TrophicLevel";"DNA16S";"WaterFiltered [ml]";"RNAseq";"Length";"Weight";"StomachContent";"FillLevel";"LiverWeight";"SpleenWeight";"GonadeWeight";"Age";"Sex";"HSI";"SSI";"GSI";"FultonK";"Lipid";"Protein";"Carbohydrates";"KJ-Lipid";"KJ-Protein";"KJ-Carbohydrate";"MuscleEnergy"
"11";"SLSU21BBEB7";"Fish";"SL";"Brunsbuettel";"53.88742";"9.19429";"Summer_21";"Elbe_Summer_21";2021-08-26;"Ebb";13;"SLSU21BBEB7";"SLSU21BB";"SLSU21BB";12.8;17.75;7.865;7023.5;3.88;93.5;8.67;22.5;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";145;23.89;0.1074;0;0.2576;0.267;0;0;"n";1.07827542904981;1.11762243616576;0;0.783631965230227;9.77287774762551;121.443684590397;28.293552157528;0.386028671031207;2.91464843016954;0.480990386677976;3.78166748787872
"12";"SLSU21BBEB9";"Fish";"SL";"Brunsbuettel";"53.88742";"9.19429";"Summer_21";"Elbe_Summer_21";2021-08-26;"Ebb";13;"SLSU21BBEB9";"SLSU21BB";"SLSU21BB";12.8;17.75;7.865;7023.5;3.88;93.5;8.67;22.5;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";174;48.95;1.033;3;0.5767;0.0593;0;0;"n";1.17814096016343;0.121144024514811;0;0.929190907254789;11.5882556363636;191.180845295622;37.7806100865429;0.457736097636364;4.58834028709494;0.642270371471229;5.68834675620253
"13";"SLSU21SSEB2";"Fish";"SL";"Schwarztonnen Sand";"53.71442";"9.46976";"Summer_21";"Elbe_Summer_21";2021-08-27;"Ebb";15;"SLSU21SSEB2";"SLSU21SS";"SLSU21SS";13.85;17.505;7.675;1321.5;0.755;84.85;8.085;15;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";146;23.59;0.108;0;0.1926;0.0089;0;0;"n";0.816447647308181;0.0377278507842306;0;0.758000293046319;12.2087284012539;107.63060350756;52.1550927996707;0.48224477184953;2.58313448418144;0.886636577594402;3.95201583362537
"14";"SLSU21SSEB3";"Fish";"SL";"Schwarztonnen Sand";"53.71442";"9.46976";"Summer_21";"Elbe_Summer_21";2021-08-27;"Ebb";15;"SLSU21SSEB3";"SLSU21SS";"SLSU21SS";13.85;17.505;7.675;1321.5;0.755;84.85;8.085;15;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";142;20.8;0.1515;1;0.1659;0.013;0;0;"n";0.797596153846154;0.0625;0;0.726437578057115;12.786720661157;185.64198396234;48.8050602823204;0.505075466115702;4.45540761509617;0.829686024799446;5.79016910601131
"15";"SLSU21SSEB5";"Fish";"SL";"Schwarztonnen Sand";"53.71442";"9.46976";"Summer_21";"Elbe_Summer_21";2021-08-27;"Ebb";15;"SLSU21SSEB5";"SLSU21SS";"SLSU21SS";13.85;17.505;7.675;1321.5;0.755;84.85;8.085;15;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";146;21.89;0.0478;0;0.1565;0.0071;0;0;"n";0.714938328003655;0.0324349017816354;0;0.703375430893766;15.9157447651874;284.848070133137;53.0835136307843;0.628671918224903;6.8363536831953;0.902419731723334;8.36744533314353
"16";"SLSU21SSEB6";"Fish";"SL";"Schwarztonnen Sand";"53.71442";"9.46976";"Summer_21";"Elbe_Summer_21";2021-08-27;"Ebb";15;"SLSU21SSEB6";"SLSU21SS";"SLSU21SS";13.85;17.505;7.675;1321.5;0.755;84.85;8.085;15;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";117;10.56;0.0597;1;0.0824;0.0163;0;0;"n";0.78030303030303;0.154356060606061;0;0.659335307593033;11.0283794909091;236.590920132667;21.5627584274589;0.435620989890909;5.678182083184;0.366566893266801;6.48036996634171
"17";"SLSU21SSEB7";"Fish";"SL";"Schwarztonnen Sand";"53.71442";"9.46976";"Summer_21";"Elbe_Summer_21";2021-08-27;"Ebb";15;"SLSU21SSEB7";"SLSU21SS";"SLSU21SS";13.85;17.505;7.675;1321.5;0.755;84.85;8.085;15;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";130;14.89;0.0754;1;0.1208;0.0052;0;0;"n";0.811282740094023;0.0349227669576897;0;0.677742375967228;10.3987174768089;167.820474947301;34.3328157720782;0.410749340333952;4.02769139873523;0.583657868125329;5.02209860719451
"18";"SLSU21SSEB9";"Fish";"SL";"Schwarztonnen Sand";"53.71442";"9.46976";"Summer_21";"Elbe_Summer_21";2021-08-27;"Ebb";15;"SLSU21SSEB9";"SLSU21SS";"SLSU21SS";13.85;17.505;7.675;1321.5;0.755;84.85;8.085;15;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";147;23.47;0.1072;0;0.1811;0.0156;0;0;"n";0.771623348956114;0.0664678312739668;0;0.738858179210414;12.013617088175;124.770022222786;7.62435585437068;0.474537874982912;2.99448053334685;0.129614049524302;3.59863245785407
"19";"SLSU21MLEB1";"Fish";"SL";"Muehlenberger Loch";"53.54907";"9.82338";"Summer_21";"Elbe_Summer_21";2021-08-29;"Ebb";20;"SLSU21MLEB1";"SLSU21ML";"SLSU21ML";12.45;17.36;7.56;928.5;0.46;51.9;4.97;30;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";162;37.06;3.5662;4;0.2742;0.0157;0;0;"n";0.739881273610361;0.0423637344846195;0;0.87168660302837;13.4089662937063;127.531751652251;17.9987316750459;0.529654168601399;3.06076203965403;0.305978438475781;3.89639464673121
"20";"SLSU21MLEB2";"Fish";"SL";"Muehlenberger Loch";"53.54907";"9.82338";"Summer_21";"Elbe_Summer_21";2021-08-29;"Ebb";20;"SLSU21MLEB2";"SLSU21ML";"SLSU21ML";12.45;17.36;7.56;928.5;0.46;51.9;4.97;30;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";194;56.22;0.0857;0;0.3166;0.0272;0;0;"n";0.563144788331555;0.048381358946994;0;0.769991004445185;13.7112838107098;96.1627809442424;12.837900583082;0.541595710523039;2.30790674266182;0.218244309912394;3.06774676309725
"21";"SLSU21MLEB5";"Fish";"SL";"Muehlenberger Loch";"53.54907";"9.82338";"Summer_21";"Elbe_Summer_21";2021-08-29;"Ebb";20;"SLSU21MLEB5";"SLSU21ML";"SLSU21ML";12.45;17.36;7.56;928.5;0.46;51.9;4.97;30;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";163;35.81;2.7487;4;0.2975;0.0314;0;0;"n";0.83077352694778;0.0876850041887741;0;0.826878134418843;6.23505469267575;133.396286122265;17.0534593561787;0.246284660360692;3.20151086693437;0.289908809055037;3.7377043363501
"22";"SLSU21MLEB6";"Fish";"SL";"Muehlenberger Loch";"53.54907";"9.82338";"Summer_21";"Elbe_Summer_21";2021-08-29;"Ebb";20;"SLSU21MLEB6";"SLSU21ML";"SLSU21ML";12.45;17.36;7.56;928.5;0.46;51.9;4.97;30;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";169;43.16;0.1141;1;0.4158;0.0248;0;0;"n";0.96339202965709;0.0574606116774792;0;0.894172526818443;10.1932133333333;103.150209218487;0;0.402631926666667;2.4756050212437;0;2.87823694791036
"23";"SLSU21MLEB7";"Fish";"SL";"Muehlenberger Loch";"53.54907";"9.82338";"Summer_21";"Elbe_Summer_21";2021-08-29;"Ebb";20;"SLSU21MLEB7";"SLSU21ML";"SLSU21ML";12.45;17.36;7.56;928.5;0.46;51.9;4.97;30;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";183;48.79;0.4946;2;0.3097;0.0613;0;0;"n";0.634761221561795;0.12564050010248;0;0.796118193609613;7.43938587412587;156.929885474865;15.6115438154254;0.293855742027972;3.76631725139675;0.265396244862232;4.32556923828695
"24";"SLSU21MLEB9";"Fish";"SL";"Muehlenberger Loch";"53.54907";"9.82338";"Summer_21";"Elbe_Summer_21";2021-08-29;"Ebb";20;"SLSU21MLEB9";"SLSU21ML";"SLSU21ML";12.45;17.36;7.56;928.5;0.46;51.9;4.97;30;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";160;37.04;1.8516;3;0.4233;0.0215;0;0;"n";1.14281857451404;0.0580453563714903;0;0.594589874250021;3.31460310077519;104.414577750703;15.3214640654288;0.13092682248062;2.50594986601687;0.26046488911229;2.89734157760978
"25";"WFSU21MGEB";"Water";"WF";"Medem Grund";"53.8363";"8.88777";"Summer_21";"Elbe_Summer_21";2021-08-25;"Ebb";11;"WFSU21MGEB";"WFSU21MG";"WF";11.35;17.3;7.875;1898;11.32;90.95;8.235;37.5;NA;NA;NA;NA;"yes";500;"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"26";"WFSU21BBEB";"Water";"WF";"Brunsbuettel";"53.88742";"9.19429";"Summer_21";"Elbe_Summer_21";2021-08-26;"Ebb";13;"WFSU21BBEB";"WFSU21BB";"WF";12.8;17.75;7.865;7023.5;3.88;93.5;8.67;22.5;NA;NA;NA;NA;"yes";250;"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"27";"WFSU21SSFL";"Water";"WF";"Schwarztonnen Sand";"53.71442";"9.46976";"Summer_21";"Elbe_Summer_21";2021-08-29;"Flood";NA;"WFSU21SSFL";"WFSU21SS";"WF";12.65;17.56;7.785;1239.5;0.62;83.9;7.985;15;NA;NA;NA;NA;"yes";260;"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"28";"WFSU21MLFL";"Water";"WF";"Muehlenberger Loch";"53.54907";"9.82338";"Summer_21";"Elbe_Summer_21";2021-08-27;"Flood";NA;"WFSU21MLFL";"WFSU21ML";"WF";10.9;17.35;7.535;932;0.465;48.3;4.64;12.5;NA;NA;NA;NA;"yes";250;"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
